Nom de la Station,Nom de la ligne,Niveau de pollution,pollution_num,stop_lat,stop_lon
Concorde,Métro 1,FAIBLE,1,48.86655799294972,2.3229614457982586
Couronnes,Métro 2,MOYENNE,2,48.86932051914457,2.3805336747351005
Croix de Chavaux,Métro 9,MOYENNE,2,48.857992585158016,2.4358546126745826
Denfert-Rochereau,Métro 4,FAIBLE,1,48.83392232305997,2.332128160437612
Duroc,Métro 10,MOYENNE,2,48.84675637808778,2.3162247549746047
Duroc,Métro 13,MOYENNE,2,48.84699198555429,2.316535081176305
Eglise d'Auteuil,Métro 10,MOYENNE,2,48.84714336145718,2.269111389021892
Exelmans,Métro 9,MOYENNE,2,48.842624465259945,2.25967486021195
Félix Faure,Métro 8,FAIBLE,1,48.84268433479664,2.2918472203679703
Gare de Lyon,Métro 14,MOYENNE,2,48.84467563174822,2.373100581933962
Gare du Nord,Métro 4,MOYENNE,2,48.879510553130615,2.356768884572096
Gare du Nord,Métro 5,MOYENNE,2,48.87968001223662,2.357342884924845
Jacques Bonsergent,Métro 5,MOYENNE,2,48.87066646803471,2.3611315892483544
Jussieu,Métro 10,FAIBLE,1,48.8462878950311,2.354944184375758
Kléber,Métro 6,MOYENNE,2,48.87148941293503,2.293146137248626
La Motte-Picquet - Grenelle,Métro 8,FAIBLE,1,48.84950618174656,2.298745444388579
Laumière,Métro 5,ELEVE,3,48.88520088689033,2.3793117790181
Mairie d'Aubervilliers,Métro 12,MOYENNE,2,48.913739225808136,2.3807826993163266
Mairie de Montrouge,Métro 4,MOYENNE,2,48.81847190007368,2.319523835754741
Malakoff - Plateau de Vanves,Métro 13,FAIBLE,1,48.82220756804045,2.298295381702497
Malesherbes,Métro 3,MOYENNE,2,48.88284002257779,2.309487846960011
Maubert - Mutualité,Métro 10,MOYENNE,2,48.85010969451494,2.348219343927666
Michel Bizot,Métro 8,FAIBLE,1,48.83707743103578,2.402366739988004
Nation,Métro 9,MOYENNE,2,48.84888521841715,2.3959437210498136
Odéon,Métro 4,FAIBLE,1,48.85210334038093,2.339486020317896
Opéra,Métro 3,MOYENNE,2,48.87150983278418,2.331128974301561
Pasteur,Métro 6,MOYENNE,2,48.842482718285865,2.312792651441268
Pelleport,Métro 3B,MOYENNE,2,48.86842046799948,2.40160636134298
Philippe Auguste,Métro 2,MOYENNE,2,48.85808942813576,2.390497596745289
Place des Fêtes,Métro 11,MOYENNE,2,48.87672366197325,2.393139370360497
Place des Fêtes,Métro 7B,MOYENNE,2,48.87693859004261,2.392959616507311
Place Monge,Métro 7,MOYENNE,2,48.842666385642886,2.3521548685787708
Plaisance,Métro 13,MOYENNE,2,48.83175036306747,2.313860489344306
Pont de Levallois - Bécon,Métro 3,FAIBLE,1,48.89722831603318,2.28030375318625
Pont Marie (Cité des Arts),Métro 7,FAIBLE,1,48.85341474936241,2.357349968447059
