station1,station2,connected
Strasbourg - Saint-Denis,Reuilly - Diderot,True
Saint-Germain-des-Prés,Vavin,True
Porte Maillot,Palais Royal - Musée du Louvre,True
Franklin D. Roosevelt,George V,True
Buttes Chaumont,Pré-Saint-Gervais,True
Goncourt,Arts et Métiers,True
Montreuil - Hôpital,Romainville-Carnot,True
Rue du Bac,Saint-Georges,True
Saint-Denis - Porte de Paris,Porte de Clichy,True
Bérault,Argentine,True
Pyramides,Madeleine,True
Boissière,Corvisart,True
Porte Dorée,Porte de Charenton,True
Place des Fêtes,Buttes Chaumont,True
Serge Gainsbourg,Coteaux Beauclair,True
Porte de Saint-Ouen,Saint-Lazare,True
Strasbourg - Saint-Denis,Simplon,True
Porte de Pantin,Gare du Nord,True
Mairie d'Issy,Lamarck - Caulaincourt,True
Pré-Saint-Gervais,Danube,True
Sèvres - Babylone,Maubert - Mutualité,True
Palais Royal - Musée du Louvre,Poissonnière,True
Rambuteau,Pyrénées,True
Marx Dormoy,Mairie d'Issy,True
Odéon,Mouton-Duvernet,True
Thiais - Orly (Pont de Rungis),Saint-Denis - Pleyel,True
Place d'Italie,Montparnasse Bienvenue,True
Oberkampf,Richelieu - Drouot,True
Charles de Gaulle - Etoile,Barbès - Rochechouart,True
Bastille,Charles de Gaulle - Etoile,True
Trocadéro,Saint-Jacques,True
Créteil - Université,Créteil - L'Echat,True
Louise Michel,Bourse,True
Opéra,Pereire,True
Coteaux Beauclair,Romainville-Carnot,True
Saint-Denis - Porte de Paris,Varenne,True
Chaussée d'Antin - La Fayette,Bonne Nouvelle,True
Bonne Nouvelle,Chemin Vert,True
Michel-Ange - Auteuil,Pont de Sèvres,True
Bir-Hakeim,Dugommier,True
Château Landon,Place Monge,True
Porte Dorée,Faidherbe - Chaligny,True
Monceau,Philippe Auguste,True
Victor Hugo,Porte Dauphine,True
Gare de l'Est,Jacques Bonsergent,True
Quai de la Rapée,Richard-Lenoir,True
Tuileries,Argentine,True
Corentin Cariou,Cadet,True
Ecole Militaire,Daumesnil,True
Saint-Jacques,Charles de Gaulle - Etoile,True
Billancourt,République,True
Châtelet,Place Monge,True
Bercy,Cambronne,True
Alésia,Porte d'Orléans,True
Boulogne Pont de Saint-Cloud,Avenue Emile Zola,True
Porte de Choisy,Aubervilliers-Pantin Quatre Chemins,True
Basilique de Saint-Denis,Saint-Denis - Université,True
Gambetta,Sentier,True
Trocadéro,Nation,True
Passy,Pasteur,True
Trocadéro,Saint-Augustin,True
Créteil - Université,Daumesnil,True
Place des Fêtes,Châtelet,True
Place d'Italie,Ourcq,True
Commerce,Chemin Vert,True
Maubert - Mutualité,Mabillon,True
Miromesnil,Porte de Saint-Ouen,True
Crimée,Le Peletier,True
La Motte-Picquet - Grenelle,Strasbourg - Saint-Denis,True
Bonne Nouvelle,Pointe du Lac,True
Porte des Lilas,Belleville,True
Campo-Formio,Bastille,True
Miromesnil,République,True
Vaugirard,Aimé Césaire,True
Saint-Philippe-du-Roule,Marcel Sembat,True
